name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0416,,80.984917,-17.260417,1.41,G,0.70,71,
IC0417,,82.025000,34.423944,13.00,HII,10.00,,
IC0418,,81.867458,-12.697278,0.20,PN,,,
IC0419,,82.716750,30.117917,,Other,,,
IC0420,,83.039583,-4.504750,6.03,Neb,,,
IC0421,,83.035750,-7.918333,2.96,G,2.22,108,
IC0422,,83.077292,-17.223861,1.04,G,0.93,130,
IC0423,,83.341708,-0.614500,6.00,Neb,3.50,90,
IC0424,,83.405167,-0.413139,2.50,Neb,1.70,,
IC0425,,84.291333,32.429667,,Other,,,
IC0426,,84.130750,-0.298306,10.00,Neb,3.00,,
IC0427,,84.075083,-6.616444,,Neb,,,
IC0428,,84.100875,-6.451556,,Neb,,,
IC0429,,84.578583,-7.040500,,Neb,,,
IC0430,,84.649875,-7.083111,10.96,Neb,,,
IC0431,,85.058458,-1.462806,8.00,RfN,5.00,,
IC0432,,85.233250,-1.507000,10.00,RfN,10.00,,
IC0433,,85.130625,-11.665583,1.42,G,1.12,138,
IC0434,Flame Nebula,85.253667,-2.453778,90.00,HII,30.00,,
IC0435,,85.752375,-2.312611,3.98,RfN,3.02,,
IC0436,,88.417000,38.624778,,Other,,,
IC0437,,87.905833,-12.564972,0.97,G,0.46,7,
IC0438,,88.250333,-17.876083,2.80,G,1.82,63,
IC0439,,89.164625,32.022694,,Other,,,
IC0440,,94.805458,80.068472,1.77,G,1.00,36,
IC0441,,90.677625,-12.499139,1.22,G,1.13,40,
IC0442,,99.049542,82.968250,1.25,G,1.25,5,
IC0443,Gem A,94.155875,22.531667,50.00,SNR,40.00,,
IC0444,,94.641667,23.313333,8.00,RfN,4.00,,
IC0445,,99.338542,67.859861,0.87,G,0.70,20,
IC0446,,97.775750,10.459278,5.00,Cl+N,4.00,,
IC0447,,97.751333,9.897444,25.00,HII,20.00,,
IC0448,,98.188917,7.388639,15.00,HII,10.00,,
IC0449,,101.421292,71.343833,1.77,G,1.34,83,
IC0450,,103.051042,74.427083,1.38,G,0.80,130,
IC0451,,103.216708,74.480722,1.34,G,1.07,144,
IC0453,,102.297708,-16.906750,,*,,,
IC0454,,102.776250,12.922028,1.69,G,0.88,138,
IC0455,,113.740333,85.537194,1.06,G,0.65,78,
IC0456,,105.073083,-30.163778,2.33,G,1.60,4,
IC0458,,107.642292,50.118917,0.90,G,0.39,173,
IC0459,,107.661208,50.177333,0.59,G,0.49,1,
IC0460,,107.684458,50.202444,0.85,G,0.49,178,
IC0461,,107.687667,50.081417,0.63,G,0.48,36,
IC0462,,107.732542,50.180833,,*,,,
IC0463,,107.753708,50.117694,0.28,G,0.20,95,
IC0464,,107.769792,50.136889,0.80,G,0.37,60,
IC0466,,107.161667,-4.318000,1.00,HII,,,
IC0467,,112.576625,79.872528,1.99,G,0.94,73,
IC0468,,109.329167,-13.218694,,Other,,,
IC0469,,118.996167,85.158917,2.35,G,0.91,88,
IC0470,,110.881250,46.078667,,**,,,
IC0471,,115.901875,49.667556,0.66,G,0.66,23,
IC0472,,115.959750,49.614194,1.61,G,1.15,166,
IC0473,,115.602583,9.255278,,Other,,,
IC0474,,116.530458,26.505111,1.27,G,0.40,113,
IC0475,,116.788458,30.488806,0.75,G,0.45,133,
